study_id,experiment,participant,age_original,age_in_years,sex,species,session,trial,contingency,condition,order,continuous_strip,choice,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,9.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,10.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,11.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,12.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,right,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,right,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,right,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,1.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,right,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,2.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,right,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,correct
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,incorrect
albiach2014reversed,2,fraukje,396.0,33.0,f,chimpanzee,3.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,9.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,10.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,11.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,12.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,9.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,10.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,11.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,12.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,9.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,10.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,11.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,12.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,1.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,2.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,right,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,right,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,right,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,left,correct
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,right,left,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,right,incorrect
albiach2014reversed,2,robert,408.0,34.0,m,chimpanzee,3.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,left,right,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,9.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,10.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,11.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,1.0,12.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,9.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,left,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,10.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,right,correct
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,11.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,2.0,12.0,direct_reward_according_to_chosen_strip,paper,first_condition,left,right,incorrect
albiach2014reversed,2,swela,168.0,14.0,f,chimpanzee,3.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,right,left,incorrect
