study_id,experiment,participant,age_in_years,sex,species,session,trial,contingency,condition,order,pattern,bait,choice,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,9.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,10.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,11.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,12.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,9.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,10.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,11.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,12.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,1.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,2.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,3.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,4.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,5.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,1.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,2.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,3.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,4.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,5.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,6.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,7.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,8.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,9.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,right,right,correct
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,10.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,right,right,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,11.0,direct_reward_according_to_chosen_strip,paint,second_condition,cross,left,left,incorrect
albiach2014reversed,1,alexandra,8.0,f,chimpanzee,6.0,12.0,direct_reward_according_to_chosen_strip,paint,second_condition,pseudocross,left,left,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,left,incorrect
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,left,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,right,incorrect
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,left,incorrect
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,9.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,10.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,left,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,11.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,1.0,12.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,left,incorrect
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,2.0,1.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,right,incorrect
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,2.0,2.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,2.0,3.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,left,incorrect
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,2.0,4.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,2.0,5.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,left,left,incorrect
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,2.0,6.0,direct_reward_according_to_chosen_strip,paper,first_condition,cross,right,right,incorrect
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,2.0,7.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,left,left,correct
albiach2014reversed,1,fraukje,31.0,f,chimpanzee,2.0,8.0,direct_reward_according_to_chosen_strip,paper,first_condition,pseudocross,right,right,correct
